varname	code	name
product	 463	candles, candlesticks and other candle holders
product	 464	knives, not elsewhere classified
product	 465	other cookware
product	 466	cookware, not specified
product	 469	slicers and choppers
product	 471	food grinders
product	 474	tableware and accessories
product	 475	drinking glasses, not specified        
product	 477	thermometers (excluding medical thermometers)
product	 478	drinking glasses
product	 480	manual cleaning equipment (excl. buckets and pails)
product	 481	bread making machines
product	 482	appliances, other and not specified
product	 514	ceramics supplies or equipment
product	 519	television tables or stands
product	 529	telescopes, binoculars, microscopes, magnifying glasses
product	 530	phonograph records
product	 531	recording tapes
product	 532	glass bottle cutting equipment
product	 533	lapidary equipment
product	 536	photographic equipment
product	 545	amateur two-way radios
product	 546	stereo or hi-fi components or accessories
product	 547	sound recording or receiving equipment, not specified
product	 549	projectors
product	 550	telephones or telephone accessories
product	 552	antennas, not specified
product	 555	radios (self-contained units)
product	 556	tape recorders or players (self-contained units)
product	 557	computers (equipment and electronic games)
product	 558	indoor antennas (separate)
product	 559	radios, not specified
product	 561	outdoor antennas (separate)
product	 562	laser pointers
product	 563	record players (self-contained units)
product	 564	art supplies or equipment
product	 565	musical instruments, electric or battery operated
product	 566	musical instrmnts, not elect. or battery or not spec.
product	 567	coaxial cable
product	 569	art or ceramics supplies and equipment (excl. paintbrushes)
product	 570	musical instruments                     
product	 571	business and office machines
product	 572	televisions
product	 573	other sound recording, reproducing or receiving equip.
product	 574	remote control, universal or ns (excl. remotes for toys)
product	 601	bedsprings or bedframes
product	 604	desks, chests, bureaus or buffets
product	 606	generators or power plants
product	 609	glass bathtub or shower enclosures
product	 610	nonglass bathtub or shower enclosures
product	 611	bathtubs or showers
product	 612	runners, throw rugs or doormats
product	 613	room-sized, wall-to-wall or outdoor carpeting
product	 617	draperies, curtains, shower curtains(fabric or plastic)
product	 618	stepladders
product	 619	straight ladders
product	 620	step stools
product	 623	butane or lp gas meters
product	 627	light bulbs
product	 628	electric chandeliers or other attached light fixtures
product	 638	window shades, venetian blinds or indoor shutters
product	 639	flashlights or battery-powered lanterns
product	 648	sinks
product	 649	toilets
product	 650	slipcovers
product	 651	table linens
product	 652	pictures, picture frames or wall decorations
product	 653	artificial flowers or plants
product	 654	knickknacks, statues, vases or urns
product	 657	towel racks or bars
product	 661	bunk beds
product	 662	waterbeds or water pillows
product	 663	fireplace equipment
product	 666	towels or cloths
product	 667	bedspreads, throws or comforters
product	 669	clothespins
product	 670	recliner chair                          
product	 671	rocking chair                           
product	 672	laundry hampers
product	 676	rugs or carpets, not specified
product	 679	sofas, couches, davenports, divans or studio couches
product	 680	convertible beds, hideaway beds or sofa beds
product	 684	unattached appliance or lamp cords
product	 685	extension cords
product	 687	benches
product	 688	extension ladders
product	 689	blankets, not specified
product	 692	magazine racks or book ends
product	 693	footlockers
product	 694	beds, not specified
product	 698	whirlpools, hot tubs or home spas
product	 699	faucets or spigots
product	 701	fire extinguishers
product	 702	fire or smoke alarms
product	 704	burglar alarms
product	 706	lightning rods, arresters or other grounding devices
product	 707	padlocks, chain locks or other locks
product	 709	safes
product	 710	electric timers
product	 711	fire escape devices
product	 712	carbon monoxide detectors
product	 713	fire sprinklers
product	 803	power sanders
product	 804	power routers
product	 805	power lathes
product	 807	power jointers
product	 808	power shapers
product	 809	other portable or stationary power tools
product	 812	electric welding equipment
product	 814	hoists, lifts, jacks or jack stands
product	 815	electrical testing equipment
product	 819	electric motors (separate)
product	 820	internal combustion engines (nonvehicular)
product	 821	automotive tools or accessories
product	 822	paint sprayers                          
product	 823	air compressors (separate)
product	 827	hammers
product	 828	screwdrivers
product	 829	manual drills
product	 830	hand saws
product	 831	fuel-burning welding equipment
product	 832	portable circular power saws
product	 833	workshop compounds or chemicals
product	 834	heavy-duty workshop staplers
product	 835	toolboxes or tool kits
product	 836	knives with replaceable blades
product	 837	wire, not specified
product	 841	bench or table saws
product	 842	band saws
product	 843	radial arm saws
product	 844	power hack saws
product	 845	saws, not specified
product	 847	drills, not specified
product	 852	rope or string
product	 854	workshop furnishings
product	 855	portable power drills and accessories
