hms	stf	rlg	country	region	region_name	weight
0.2581301305513306	6.068578707527811	4.26708748852461	RUSSIAN FEDERATION	RU11		2772.177501485296
0.21865176276267737	5.456342794892616	4.575251233563635	RUSSIAN FEDERATION	RU13		2096.6818279415024
0.8717477734994109	7.569944193508746	4.782399092921507	GERMANY	DEA	NORDRHEIN-WESTFALEN	1503.614214857321
0.20415843341007275	5.924198709261593	3.6539747715143722	RUSSIAN FEDERATION	RU17		1448.069803646031
0.8399822948077372	7.796312626998897	5.136865893819669	GERMANY	DE2	BAYERN	1074.4334398380022
0.28925245584586845	6.100658944117514	4.805110029697407	RUSSIAN FEDERATION	RU14		1043.0683188105058
0.7504878997892228	6.5521266742130955	5.32852778209355	FRANCE	FR10	ÎLE DE FRANCE	975.7805332954599
0.8335371216152215	7.700275847443873	4.921629998549212	GERMANY	DE1	BADEN-WÜRTTEMBERG	899.7698860454442
0.3064540806611643	5.581204382220163	3.9500145649967044	RUSSIAN FEDERATION	RU12		887.3561461395332
0.16909275313258643	5.110084410111762	4.117617106502762	RUSSIAN FEDERATION	RU16		798.4967026752835
0.8586180250696774	7.251869312127392	3.9375237164758876	UNITED KINGDOM	UKJ	SOUTH EAST	709.6932919942271
0.8704040444092658	6.8168315644004505	4.534980332197131	SPAIN	ES61	ANDALUCÍA	690.6269732293428
0.8811154536596646	7.6554021237641585	4.7307985012160385	GERMANY	DE9	NIEDERSACHSEN	670.9676368135978
0.789858201983478	7.1564909743460445	4.640220254419116	UNITED KINGDOM	UKI	LONDON	626.0704917432755
0.8727909135064883	7.056250384460006	3.768601999879234	SPAIN	ES51	CATALUÑA	613.549870114114
0.6573338682104293	6.951587762391061	5.283814606611413	ITALY	ITC4	LOMBARDIA	601.8843166968853
0.1040021876098634	5.576156274429559	5.65890838869016	RUSSIAN FEDERATION	RU15		580.4900140979859
0.8582041587670258	7.290495461809627	3.8009102018706606	UNITED KINGDOM	UKD	NORTH WEST	557.6708912314245
0.6261496488827692	7.429667890105559	4.933344553420585	ISRAEL	IL		526.5635220422971
0.8562165895342969	6.974263956387142	4.258783028308305	SPAIN	ES30	COMUNIDAD DE MADRID	523.2377829632765
0.8168386672150937	7.681623931748706	4.967927289661141	GERMANY	DE7	HESSEN	519.7114307911781
0.8029882248282726	6.866978866017452	4.685106358970489	FRANCE	FR71	RHÔNE-ALPES	516.6962059115688
0.8205387305020857	6.723101372824059	5.316704052886351	ITALY	ITC1	PIEMONTE	484.901604340924
0.8924278925876744	7.494664008089808	3.6205626366181525	UNITED KINGDOM	UKH	EAST OF ENGLAND	484.3593421262121
0.5655876282991867	7.008471425119963	6.0786266831052895	POLAND	PL12	MAZOWIECKIE	473.13973833114653
0.8142438427718397	7.293303746224682	3.9248210012822455	UNITED KINGDOM	UKG	WEST MIDLANDS	459.15412845256543
0.6021621545613443	6.488514385885873	7.673540348569743	ITALY	ITG1	SICILIA	454.02105485972027
0.8562648522568116	7.2959562456215705	3.760167844668099	UNITED KINGDOM	UKM	SCOTLAND	441.74851259013025
0.8055657606288611	6.540190933001674	4.916336162515714	FRANCE	FR82	PROVENCE-ALPES-CÔTE D'AZUR	440.4825168535609
0.8691669921314679	7.306680795507292	3.6365806042658266	UNITED KINGDOM	UKK	SOUTH WEST	431.41806267013305
0.8546454710659194	7.362047956881769	3.38704275522907	UNITED KINGDOM	UKE	YORKSHIRE AND THE HUMBER	428.0068451970469
0.29330527542376084	6.023272716299293	3.8493576334213015	RUSSIAN FEDERATION	RU18		425.7370711505373
0.7575975304978213	6.683789819985614	6.015335611422403	ITALY	ITI4	LAZIO	422.6285640435183
0.8604327647746501	6.699325527600941	4.2092897604114	SPAIN	ES52	COMUNIDAD VALENCIANA	412.32733355197547
0.5642173258459512	7.100018009651963	5.954299961251263	POLAND	PL22	ŚLĄSKIE	411.0982585773435
0.6966698457967837	6.529025092941587	5.865030586579914	ITALY	ITH3	VENETO	410.6219174420851
0.7648123064214336	6.106037870704166	4.431656917941385	ITALY	ITI1	TOSCANA	382.90811429720344
0.8776549602176049	7.231797013694514	3.3521139745288435	UNITED KINGDOM	UKF	EAST MIDLANDS	371.6076154252864
0.8348907695418576	7.079955614456793	2.636923662256996	GERMANY	DED	SACHSEN	356.77800734846693
0.8485071124509515	7.628076055792931	4.850163586311232	GERMANY	DEB	RHEINLAND-PFALZ	348.3759014906919
0.7559205121981939	7.060055264548786	5.580191756481235	ITALY	ITH5	EMILIA-ROMAGNA	346.3046930456944
0.6593520495625498	7.164210570854296	5.689486615587777	ITALY	ITF6	CALABRIA	340.18595490398195
0.8274950040215888	6.5112331400410755	4.572926555934197	FRANCE	FR30	NORD - PAS-DE-CALAIS	329.11491287866335
0.7477105971571573	6.195554917564472	6.419765092861755	ITALY	ITF3	CAMPANIA	325.9363697904273
0.8332317889689209	6.4402495255385235	3.9819377232851014	FRANCE	FR52	BRETAGNE	305.217737816313
0.9099508341328684	6.85704844849029	3.340047659291491	GERMANY	DE3	BERLIN	298.0736374348805
0.8855965208268076	7.780314293494569	4.513932321589286	NETHERLANDS	NL33	ZUID-HOLLAND	286.5151174368019
0.7226195728183	5.85803570642191	5.683264759513208	PORTUGAL	PT11	NORTE	285.31275226449964
0.8045178560913465	6.300129407378822	4.541700268163889	FRANCE	FR62	MIDI-PYRÉNÉES	284.03225270255973
0.4835805347165106	7.064206384100969	6.816268162220897	POLAND	PL21	MAŁOPOLSKIE	281.4701596983889
0.12421481744575576	5.107295451843635	4.100884316623661	UKRAINE	UA05		265.3142111146634
