"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1449,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1444,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1421,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1420,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1430,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1429,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1426,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1423,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1426,,
"BEL","Belgium","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1595,,
"BEL","Belgium","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1588,,
"BEL","Belgium","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1583,,
"BEL","Belgium","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1573,,
"BEL","Belgium","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1565,,
"BEL","Belgium","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1572,,
"BEL","Belgium","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1577,,
"BEL","Belgium","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1570,,
"BEL","Belgium","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1548,,
"BEL","Belgium","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1546,,
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1560,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1558,,
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1556,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1551,,
"CAN","Canada","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1772,,
"CAN","Canada","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1764,,
"CAN","Canada","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1752,,
"CAN","Canada","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1737,,
"CAN","Canada","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1754,,
"CAN","Canada","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1746,,
"CAN","Canada","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1743,,
"CAN","Canada","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1740,,
"CAN","Canada","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1736,,
"CAN","Canada","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1703,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1707,,
"CAN","Canada","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1706,,
"CAN","Canada","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1720,,
"CAN","Canada","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1714,,
"CAN","Canada","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1713,,
"CAN","Canada","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1779,,
"CAN","Canada","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1771,,
"CAN","Canada","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1754,,
"CAN","Canada","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1746,,
"CAN","Canada","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1759,,
"CAN","Canada","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1747,,
"CAN","Canada","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1745,,
"CAN","Canada","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1741,,
"CAN","Canada","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1735,,
"CAN","Canada","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1701,,
"CAN","Canada","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1703,,
"CAN","Canada","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1700,,
"CAN","Canada","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1713,,
"CAN","Canada","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1707,,
"CAN","Canada","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1704,,
"CAN","Canada","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1707,,
"CAN","Canada","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1703,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,2018,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1922,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1896,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1882,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1900,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1923,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1922,,
