wday,age,school,industry,employment,start,end,n,count
1,20,-1,-1,-1,4.5,6,0.020909214562262576,1
1,20,-1,-1,-1,4.5,9,0.042378335658732134,1
1,20,-1,-1,-1,4.5,12,0.042930094410936884,1
1,20,-1,-1,-1,5,7,0.04976078052288011,2
1,20,-1,-1,-1,5,7.5,0.08053922033641543,2
1,20,-1,-1,-1,5,8,0.027438673453468017,1
1,20,-1,-1,-1,5,8.5,0.06166032801055823,2
1,20,-1,-1,-1,5,9.5,0.08023778157970803,1
1,20,-1,-1,-1,5,10,0.03657341664084768,1
1,20,-1,-1,-1,5,12,0.0557765425477247,2
1,20,-1,-1,-1,5,13,0.024664824166882388,1
1,20,-1,-1,-1,5.5,6.5,0.025346794249903448,1
1,20,-1,-1,-1,5.5,7.5,0.032051718580736153,2
1,20,-1,-1,-1,5.5,9,0.009282227524266945,1
1,20,-1,-1,-1,6,8,0.02231481272563212,1
1,20,-1,-1,-1,6,10,0.0761956720344422,2
1,20,-1,-1,-1,6,10.5,0.05067299656731603,1
1,20,-1,-1,-1,6,12,0.1574286647021147,4
1,20,-1,-1,-1,6,16,0.015922086308582283,1
1,20,-1,-1,-1,6.5,7,0.06715519365173113,1
1,20,-1,-1,-1,6.5,9.5,0.02762721035714899,1
1,20,-1,-1,-1,6.5,10,0.027469032512280264,1
1,20,-1,-1,-1,7,10,0.06502668225370355,1
1,20,-1,-1,-1,7,12,0.08315551909169741,1
1,20,-1,-1,-1,7,14,0.03590502133160115,1
1,20,-1,-1,-1,7.5,8.5,0.01139677754829967,1
1,20,-1,-1,-1,7.5,10,0.03211514289990302,1
1,20,-1,-1,-1,8,9,0.03383245025602217,1
1,20,-1,-1,-1,8,9.5,0.15536952251343464,1
1,20,-1,-1,-1,8,10,0.06210449519200838,2
1,20,-1,-1,-1,8,11.5,0.02358766112654993,1
1,20,-1,-1,-1,8,16,0.04025210009596389,1
1,20,-1,-1,-1,8.5,10.5,0.13129818803952223,1
1,20,-1,-1,-1,8.5,12,0.05088114066707757,1
1,20,-1,-1,-1,9,10.5,0.04501992390389928,1
1,20,-1,-1,-1,9,11,0.07962792337929579,4
1,20,-1,-1,-1,9,12.5,0.07367287217773191,1
1,20,-1,-1,-1,9.5,10.5,0.02762721035714899,1
1,20,-1,-1,-1,9.5,11.5,0.04388218863281792,1
1,20,-1,-1,-1,9.5,16,0.03613233496681646,1
1,20,-1,-1,-1,9.5,19.5,0.04195085793585057,1
1,20,-1,-1,-1,10,11,0.01254009299237271,1
1,20,-1,-1,-1,10,11.5,0.032066591747703516,1
1,20,-1,-1,-1,10,12.5,0.02686840895109347,1
1,20,-1,-1,-1,10.5,11.5,0.04670677008039326,1
1,20,-1,-1,-1,10.5,14,0.03145611352806998,1
1,20,-1,-1,-1,11.5,13.5,0.11530725042000078,2
1,20,-1,-1,-1,11.5,17,0.03762975432968831,1
1,20,-1,-1,-1,11.5,17.5,0.0689514258075496,1
1,20,-1,-1,-1,12,12,0.06757009592593602,2
1,20,-1,-1,-1,12,12.5,0.05425984423424238,1
1,20,-1,-1,-1,12,13,0.0166593256344242,1
1,20,-1,-1,-1,12,13.5,0.02762721035714899,1
1,20,-1,-1,-1,12,14,0.043455936359691395,1
1,20,-1,-1,-1,12,15.5,0.02065494103243648,1
1,20,-1,-1,-1,12,16,0.04570233164754714,1
1,20,-1,-1,-1,12.5,14.5,0.08778458989225014,2
1,20,-1,-1,-1,12.5,15.5,0.04388218863281792,1
1,20,-1,-1,-1,13,14,0.2119675394689724,3
1,20,-1,-1,-1,13,15,0.03968900593352506,2
